"id";"element";"includes"
1;"CSS-Основы";"CSS - язык таблиц стилей, позволяющий редактироватьвнешний вид 
сайта. Объявление стиля состоит из селекторов и их свойств."
2;"CSS-блочная модель";"Каждый блок имеет прямоугольную область содержимого в 
центре, поля вокруг содержимого, рамку вокруг полей и 
отступ за пределами рамки, размеры которых определяются 
свойствами: padding и margin."
3;"CSS-текст";"- Модуль CSS-текст описывает функции CSS, которые 
управляют переводом исходного текста в 
форматированный и переносом строк. Различные свойства
CSS обеспечивают контроль над преобразованием регистра,
обработкой пробелов, правилами переноса и переносом 
текста и строк, выравниванием, интервалами и отступами."
4;"CSS-шрифт";"Шрифт в CSS — это ресурс, содержащий визуальное 
представление символов. На самом простом уровне он 
содержит информацию, которая сопоставляет коды 
символов с фигурами, представляющие эти символы.

"
5;"CSS-ссылки";"CSS-ссылки содержат свойства, которые отвечают за 
внешний вид гипертекстовых ссылок HTML-документа. 
Ссылки представляют собой основной способ навигации 
по сайту, поэтому применение CSS-стилей для оформления 
улучшит их визуальное восприятие."
6;"CSS-списки";"CSS-списки — набор свойств, отвечающих за оформление
списков. Использование HTML-списков очень распространено
при создании панелей навигации по сайту. Элементы списка
представляют набор блочных элементов."
7;"CSS-фон";"CSS-свойства фона указывают, какой цвет background-color 
и изображения background-image использовать, а также их 
размер, расположение, способ укладки и т.д."
8;"CSS-рамка";"CSS-рамка элемента представляет собой одну или несколько линий, 
окружающих содержимое элемента и его поля padding. Рамка 
задаётся с помощью краткого свойства border. Стиль рамки задается 
с помощью трех свойств: стиль, цвет и ширина."
9;"CSS content";"CSS content генерирует содержимое, которое визуально 
отображается на экране монитора, не добавляясь к дереву 
документа DOM.Содержимое, вставляемое с помощью свойства 
content, появляется внутри элемента, до или после его 
содержимого. "
10;"CSS-colors";"Модуль CSS color подробно описывает значения, которые 
позволяют авторам определять цвета и непрозрачность 
html-элементов, а также значения свойства color."
11;"CSS-генераторы";"CSS-генераторы и онлайн-сервисы CSS упрощают процесс 
веб-разработки. С их помощью вы можете получить готовый 
кроссбраузерный код для различных элементов интерфейса, 
протестировать, как выглядит сайт на экранах мобильных 
устройств, подобрать цветовую палитру для сайта и многое 
другое."
